patient_id,abha_id,age,gender,systolic_bp,diastolic_bp,heart_rate,bmi,glucose,hba1c,cholesterol,creatinine,diabetes,heart_disease,hypertension,kidney_disease
SYN-PAT-52c9d9ea,91-5048-1328-4477,90,female,141.58,81.96,83,29.34,166.96,5.84,248.48,1.81,1,1,1,1
SYN-PAT-9d74c0d0,91-6825-4488-2895,52,female,120.44,71.85,72,21.84,99.01,4.29,233.39,0.94,0,1,0,0
SYN-PAT-72917e54,91-2141-7935-2120,55,female,138.52,93.91,82,24.12,127.96,5.55,200.28,1.39,1,1,1,1
SYN-PAT-8197c96b,91-8398-7708-8173,79,male,133.93,76.08,95,25.17,140.8,5.44,231.05,1.53,1,1,0,1
SYN-PAT-fb4926f2,91-7640-7745-4062,67,male,141.41,80.4,64,20.26,123.17,6.0,238.41,1.36,0,1,1,1
SYN-PAT-8aa18340,91-3435-8523-2029,26,female,116.0,69.81,67,27.68,139.79,5.48,219.87,0.79,1,1,0,0
SYN-PAT-6df6b8a7,91-1267-8135-2240,80,female,128.18,87.52,64,18.32,144.19,5.38,155.99,1.71,1,1,0,1
SYN-PAT-3fc7d799,91-1916-5431-8778,50,female,132.63,76.83,71,19.07,129.13,5.61,194.7,1.26,1,1,0,1
SYN-PAT-4c5889f9,91-6594-4913-9017,85,female,130.38,70.37,77,30.88,152.9,6.03,260.7,1.93,1,1,0,0
SYN-PAT-a3392601,91-8421-7577-3548,47,female,140.68,82.62,57,30.15,109.03,6.03,240.09,0.86,0,1,1,0
SYN-PAT-3b7a6214,91-6471-2269-9137,18,male,108.05,67.2,77,18.01,119.67,5.43,177.4,0.66,0,1,0,0
SYN-PAT-31c0dca3,91-2613-7579-6651,18,female,110.74,65.93,50,28.1,144.97,6.37,186.48,1.06,1,1,0,0
SYN-PAT-ada45029,91-1284-4277-3631,64,female,134.76,81.68,72,32.85,156.16,6.3,240.29,1.29,1,1,0,1
SYN-PAT-fb63947f,91-1168-8712-3671,42,male,143.77,86.38,73,29.61,124.15,5.05,235.01,1.27,0,1,1,1
SYN-PAT-ccd2c588,91-3450-9095-4357,67,female,134.81,79.31,60,25.05,82.35,3.87,146.05,1.34,0,1,1,0
SYN-PAT-be997c0a,91-2287-1267-1434,57,female,135.6,86.28,67,32.0,142.23,5.66,204.98,1.19,1,1,1,0
SYN-PAT-963c6908,91-1594-2750-1402,48,male,130.31,73.95,65,16.91,125.42,5.22,206.05,0.92,0,1,0,0
SYN-PAT-c1419809,91-8338-6434-4949,79,female,134.57,84.29,77,26.06,146.62,6.48,199.04,1.49,1,1,0,1
SYN-PAT-0551789c,91-2598-5949-7572,67,female,130.29,69.46,73,27.25,160.43,6.41,226.47,1.55,1,1,0,1
SYN-PAT-114c4600,91-5603-1154-4630,80,female,124.52,78.25,82,34.52,127.29,4.76,247.86,1.71,1,1,0,1
SYN-PAT-43a4c7dc,91-2195-6478-7332,85,female,148.4,79.38,97,26.56,146.37,6.47,257.74,1.54,1,1,1,0
SYN-PAT-121f7c61,91-8239-7649-8420,41,female,121.69,78.32,88,28.99,131.51,5.4,197.95,1.55,1,1,0,1
SYN-PAT-e4ad2d9b,91-5631-9792-4592,54,female,130.3,73.63,60,30.66,119.35,4.91,241.49,0.98,0,1,0,0
SYN-PAT-4ea969b8,91-6163-2839-5594,55,male,138.9,89.73,79,23.49,153.96,6.76,202.92,1.8,1,1,0,1
SYN-PAT-024ae916,91-4405-1308-8695,69,female,143.36,82.1,65,26.27,142.9,6.88,243.43,1.7,1,1,1,0
SYN-PAT-6f05e0a9,91-3922-9854-8555,79,female,139.65,89.04,76,35.35,156.74,5.97,255.45,1.61,1,1,0,1
SYN-PAT-070f8394,91-9115-9049-5029,48,male,154.3,95.6,62,23.31,142.46,6.05,244.07,1.38,1,1,1,1
SYN-PAT-53e187fb,91-3621-7176-6719,70,male,139.57,84.94,82,30.94,132.25,5.66,240.01,1.37,0,1,0,1
SYN-PAT-e5e3b7b6,91-1538-3303-7421,56,female,134.44,89.1,85,34.43,140.88,5.23,268.23,1.29,1,1,0,1
SYN-PAT-cadcb387,91-8166-5373-9146,55,male,119.89,64.85,65,17.03,116.11,5.08,208.35,0.93,0,1,0,0
SYN-PAT-51fea723,91-7237-6319-2867,58,male,130.96,78.9,61,31.45,129.97,5.61,229.31,1.52,1,1,1,1
SYN-PAT-5cb3843c,91-6557-5432-9891,31,male,121.27,80.22,81,37.41,151.58,6.68,215.61,1.33,1,1,0,0
SYN-PAT-8e28c68d,91-1740-7470-8491,88,female,144.23,93.86,77,34.14,146.39,5.89,251.97,1.57,1,1,1,1
SYN-PAT-000ed0f7,91-8407-8245-5665,62,male,133.61,83.13,82,26.99,155.61,5.84,261.91,1.44,1,1,0,1
SYN-PAT-3116debe,91-1230-8021-7833,74,male,132.02,77.12,56,21.76,100.2,4.47,202.08,1.52,0,1,0,0
SYN-PAT-71164597,91-4501-9192-3088,46,male,115.6,73.11,78,21.27,104.63,5.13,249.02,1.33,0,1,0,0
SYN-PAT-7e3519cc,91-3838-7036-6066,27,female,114.96,70.95,88,24.91,111.21,5.31,192.76,1.02,0,1,0,0
SYN-PAT-a54538cc,91-9595-5032-2546,59,male,144.48,86.53,82,27.74,111.26,2.98,250.19,1.51,0,1,1,1
SYN-PAT-237477ed,91-2943-1957-5922,81,male,140.1,89.42,56,25.55,152.84,6.79,260.36,1.42,1,1,1,1
SYN-PAT-0e637a22,91-1993-4096-1189,65,female,133.51,81.34,80,25.88,122.27,5.6,169.96,1.47,0,1,0,0
SYN-PAT-08e22bc0,91-7053-6004-6756,57,male,136.73,84.19,79,21.62,108.53,4.79,206.79,1.56,0,1,0,0
SYN-PAT-6a27f11a,91-1764-5135-6038,54,female,130.25,77.89,76,32.71,153.46,6.25,243.37,0.99,1,1,0,0
SYN-PAT-1546b94e,91-3686-1960-9629,49,male,123.05,72.76,77,19.71,130.21,5.31,217.42,1.03,1,1,0,0
SYN-PAT-cc38edd5,91-2068-5098-9015,63,female,134.4,76.94,92,28.12,152.64,5.81,257.39,1.45,1,1,0,0
SYN-PAT-4ffe693c,91-4064-6412-2719,63,female,124.09,66.69,93,29.39,124.72,5.28,230.84,1.47,0,1,0,0
SYN-PAT-e757a2bc,91-2028-6051-1670,45,female,124.13,74.59,68,32.06,169.99,6.42,225.66,0.95,1,1,0,0
SYN-PAT-801dc19f,91-5736-5957-4345,47,male,117.3,67.37,66,26.36,126.62,4.85,197.01,1.01,1,1,0,0
SYN-PAT-4bdcb918,91-4745-8791-2491,62,female,146.58,89.33,68,27.71,130.38,5.42,253.31,1.53,1,1,1,1
SYN-PAT-d10061d6,91-9324-1263-5462,61,male,142.77,80.67,66,29.41,119.8,5.32,264.62,1.49,0,1,1,0
SYN-PAT-86ec6a0c,91-2748-1757-1918,78,male,139.28,88.86,75,29.57,135.44,5.53,257.91,1.56,1,1,0,1
SYN-PAT-dc2d59bf,91-5695-2006-8114,80,male,131.79,82.32,86,22.21,133.72,5.48,251.22,1.54,1,1,0,0
SYN-PAT-451b65f4,91-4501-1889-9765,70,female,132.82,91.53,69,21.91,125.18,5.2,251.33,1.52,1,1,1,0
SYN-PAT-85604a88,91-6674-9249-2136,62,female,151.13,90.52,90,22.96,124.74,4.85,209.3,1.39,0,1,1,1
SYN-PAT-bff050c3,91-6887-2478-3088,81,male,142.66,83.83,82,27.0,133.35,5.8,267.64,1.56,1,1,1,1
SYN-PAT-6b1b9ae5,91-5576-5525-4583,44,female,116.06,65.76,92,30.37,123.34,5.47,206.85,0.92,0,1,0,0
SYN-PAT-a9a8a2ad,91-5232-7661-8877,69,male,141.24,88.65,74,25.12,157.93,6.97,230.12,1.06,1,1,1,0
SYN-PAT-14ffc637,91-3038-9179-6926,73,male,111.54,67.76,63,18.12,119.98,5.24,232.81,1.43,0,1,0,0
SYN-PAT-8811df3c,91-4852-3427-1323,63,female,136.66,82.29,67,36.34,153.74,5.5,251.77,1.22,1,1,0,0
SYN-PAT-56c42bb9,91-2613-9910-8164,66,female,132.93,82.02,92,31.77,154.07,6.19,244.27,1.31,1,1,0,1
SYN-PAT-35a1c0a3,91-3023-7740-6468,34,male,128.25,72.75,67,28.29,139.64,5.41,205.29,0.67,1,1,0,0
SYN-PAT-35f23fe8,91-8751-2231-1576,57,male,137.62,89.55,73,24.63,142.5,5.8,175.98,1.76,1,1,0,0
SYN-PAT-e30862de,91-7846-5149-2751,57,male,154.54,98.09,79,33.22,132.9,4.84,244.32,0.88,1,1,1,0
SYN-PAT-98e98fb8,91-5122-1805-2992,47,male,127.71,72.32,60,24.71,103.28,4.34,204.08,1.28,0,1,0,0
SYN-PAT-989f4642,91-9871-3669-2191,46,male,120.87,76.74,84,29.7,134.71,5.5,196.48,1.35,1,1,0,1
SYN-PAT-4eaccea4,91-2296-2647-9551,52,female,130.28,74.72,85,19.54,121.32,4.73,225.13,1.29,0,1,0,0
SYN-PAT-37b79681,91-6358-1282-8609,54,male,116.97,69.05,61,18.26,128.04,5.91,208.25,1.14,1,1,0,0
SYN-PAT-0be58437,91-6307-5216-2365,70,male,152.98,85.18,81,32.18,145.81,5.82,248.69,1.28,1,1,1,1
SYN-PAT-4f97d4a0,91-8301-7460-4048,83,female,135.5,76.64,86,33.77,169.43,5.93,207.51,1.76,0,1,0,0
SYN-PAT-d04feaa8,91-9086-4193-9218,30,male,100.23,70.46,74,15.0,103.65,4.65,173.81,0.93,0,1,0,0
SYN-PAT-b3200be2,91-7644-4860-2144,49,male,124.14,73.25,75,15.0,101.28,5.27,177.95,0.91,0,1,0,0
SYN-PAT-0da5b373,91-3396-8851-5921,47,male,131.19,82.23,80,33.47,143.72,5.15,221.05,1.15,1,1,0,0
SYN-PAT-63f24846,91-6635-5664-8093,70,male,137.01,68.67,75,31.7,141.22,5.95,270.23,1.34,1,1,0,1
SYN-PAT-796f342f,91-3287-9150-7292,86,male,148.34,84.18,75,18.18,131.15,5.81,207.51,1.99,1,0,1,1
SYN-PAT-1167a315,91-1722-2095-4827,29,male,118.46,70.49,73,27.21,125.12,4.69,205.53,1.39,0,0,0,0
SYN-PAT-f38a2a77,91-1987-9797-8238,65,male,137.93,86.56,58,24.82,124.86,6.66,220.21,1.32,1,0,0,0
SYN-PAT-f4809b05,91-8600-9122-1082,33,female,108.13,50.11,77,28.98,98.34,4.05,170.25,1.17,0,0,0,0
SYN-PAT-5f70eb1b,91-5345-1877-2886,52,female,129.32,81.73,84,24.95,119.34,4.82,208.4,1.17,0,0,0,0
SYN-PAT-eeb809f6,91-4937-5807-7336,45,male,120.65,79.12,66,28.38,111.36,4.98,205.37,0.97,0,0,0,0
SYN-PAT-6190eb63,91-6757-2542-6244,40,male,117.05,71.28,54,22.81,138.09,5.36,230.89,0.97,0,0,0,0
SYN-PAT-3c36ff51,91-4706-2209-5978,63,female,121.45,76.63,56,23.93,135.98,6.07,203.66,1.4,1,0,0,0
SYN-PAT-9ca9daa8,91-1436-2423-4721,57,female,119.91,68.92,83,21.88,131.12,4.9,205.11,1.09,1,0,0,0
SYN-PAT-73e7a1da,91-1207-9463-4678,46,female,125.7,82.95,72,27.94,131.33,5.63,199.96,1.58,0,0,0,0
SYN-PAT-b638b7a2,91-5201-6351-6413,54,female,130.38,75.73,64,20.02,95.19,3.64,209.2,1.27,0,0,0,0
SYN-PAT-175d7cc1,91-4664-8654-1095,34,male,114.01,66.06,72,21.57,106.44,5.06,148.39,0.41,0,0,0,0
SYN-PAT-d91d8599,91-6704-8911-9276,90,female,141.93,90.24,74,26.15,138.82,4.95,216.96,1.48,1,0,1,1
SYN-PAT-ee193722,91-5527-8106-7693,61,female,124.36,75.08,71,26.09,147.02,6.19,175.95,1.58,1,0,0,1
SYN-PAT-d5d1d19f,91-3405-8887-9003,64,male,118.54,67.76,66,23.7,138.42,6.23,215.15,1.57,1,0,0,1
SYN-PAT-edbc4a1a,91-9421-5852-7459,48,male,119.65,67.31,63,21.09,106.27,4.89,207.66,0.84,0,0,0,0
SYN-PAT-ab418367,91-7334-3622-6565,42,male,136.69,89.88,74,33.01,143.57,6.09,201.21,1.01,1,0,0,0
SYN-PAT-688fdfab,91-7078-4323-9366,62,female,138.67,77.36,64,26.17,125.83,5.27,228.07,1.44,0,0,0,0
SYN-PAT-f2de396b,91-9544-6826-3192,65,male,126.88,71.59,55,21.01,117.32,5.37,208.42,1.03,0,0,0,0
SYN-PAT-92eeeeb3,91-7402-9047-1227,67,male,124.13,77.95,52,25.08,159.7,6.88,191.01,1.31,1,0,0,0
SYN-PAT-541995a0,91-7865-4282-3275,45,female,120.52,69.67,80,20.84,127.9,5.95,193.31,1.16,1,0,0,0
SYN-PAT-e1968f01,91-7863-2948-6178,87,female,136.59,77.83,72,19.29,123.52,5.19,190.36,1.85,0,0,0,0
SYN-PAT-b566a51d,91-8279-6191-9508,86,female,131.12,76.04,73,20.42,152.22,6.36,191.71,1.67,1,0,0,1
SYN-PAT-2b8f4778,91-2963-5594-8663,52,female,102.82,59.17,80,15.0,106.37,4.94,191.32,0.93,0,0,0,0
SYN-PAT-54c4902b,91-6967-8904-5533,70,male,148.95,102.98,75,25.3,141.04,6.43,233.34,1.35,1,0,1,1
SYN-PAT-bd2e0be6,91-1444-5381-4676,49,male,125.65,80.75,57,19.75,128.77,4.94,218.11,1.05,1,0,0,0
SYN-PAT-293f9c9d,91-4359-6013-8604,64,female,128.52,72.25,67,23.25,139.19,6.13,227.29,1.03,1,0,0,0
SYN-PAT-70069c6d,91-1732-6063-8313,56,male,135.6,77.68,69,21.19,134.59,4.73,238.12,1.04,1,0,0,0
SYN-PAT-480d2488,91-8815-1183-3388,63,male,144.28,99.6,62,30.38,148.7,6.46,233.34,1.39,1,0,1,1
SYN-PAT-20a094ad,91-4845-6756-9105,46,male,117.61,68.18,81,26.42,124.57,5.69,201.37,0.85,0,0,0,0
SYN-PAT-e5c3f81e,91-1289-6688-8393,63,male,129.83,82.63,60,24.51,123.73,4.96,189.51,1.23,1,0,0,0
SYN-PAT-18ceeeb8,91-7248-3016-1977,77,female,105.14,66.17,70,18.32,107.76,5.18,224.64,1.12,0,0,0,0
SYN-PAT-f065bd70,91-6104-5143-3848,37,female,127.59,80.07,67,19.17,137.03,5.37,185.41,1.2,1,0,0,0
SYN-PAT-6af603c4,91-4878-4464-1529,46,female,118.0,60.27,69,22.87,131.86,5.64,222.11,0.97,1,0,0,0
SYN-PAT-18b43d12,91-5533-7516-5401,52,female,120.32,78.34,76,25.39,118.3,5.03,208.01,1.19,0,0,1,0
SYN-PAT-0af7f610,91-3261-2023-9513,41,female,124.9,82.71,67,30.43,136.04,4.31,192.31,1.29,1,0,0,1
SYN-PAT-faf9369f,91-8328-3437-3807,52,female,110.53,61.83,70,26.92,153.71,7.01,226.98,1.28,1,0,0,1
SYN-PAT-7cce9fb9,91-9704-8246-5160,47,female,120.57,70.45,66,33.66,133.1,5.79,214.78,1.08,1,0,0,0
SYN-PAT-45c327d6,91-1272-8257-6144,49,male,149.03,92.57,77,24.04,123.56,4.98,236.52,1.12,0,0,1,0
SYN-PAT-b030d6c2,91-2625-6809-1571,54,male,114.98,59.31,69,22.98,103.94,5.0,188.48,0.68,0,0,0,0
SYN-PAT-663cb577,91-2455-2346-9820,79,male,128.47,73.44,53,27.72,138.77,5.16,194.17,1.24,1,0,0,0
SYN-PAT-66692647,91-8347-4091-2382,43,female,116.95,65.48,64,18.76,122.91,4.73,188.95,1.09,0,0,0,0
SYN-PAT-4760a5ec,91-7605-2804-3023,27,female,116.6,68.06,83,26.66,97.49,4.01,203.93,0.92,0,0,0,0
SYN-PAT-5ff5e505,91-4251-6053-4014,41,male,127.77,83.21,88,23.6,113.34,4.43,234.96,1.18,0,0,0,0
SYN-PAT-ec93fc6e,91-9485-2561-6628,32,male,132.46,79.74,83,22.0,108.91,5.25,186.25,0.75,0,0,0,0
SYN-PAT-99ca886a,91-2737-4096-8927,72,female,146.03,86.18,72,26.62,145.33,5.62,217.78,1.34,1,0,1,1
SYN-PAT-5c873dfe,91-8642-6611-8952,72,male,136.51,79.4,88,26.39,135.51,5.53,194.04,1.46,1,0,0,1
SYN-PAT-097fa8f3,91-5416-1509-7815,59,female,137.17,88.12,63,21.41,127.83,5.83,210.17,1.83,1,0,0,0
SYN-PAT-96e62695,91-1747-8004-1967,51,female,133.05,77.53,69,19.32,100.43,4.53,192.91,1.04,0,0,0,0
SYN-PAT-c9b19606,91-2635-8338-4109,49,male,146.26,86.32,87,32.1,102.09,4.77,197.42,1.02,0,0,1,0
SYN-PAT-398bd15b,91-1043-8326-8776,61,male,121.38,70.38,89,18.6,137.15,5.8,262.21,1.15,1,0,0,0
SYN-PAT-4855602d,91-4395-3454-5957,59,male,133.37,85.96,71,27.75,136.53,5.66,213.13,1.23,1,0,0,1
SYN-PAT-4219738b,91-2081-7639-8018,56,male,130.24,78.57,75,31.77,140.66,6.36,226.8,1.17,1,0,0,0
SYN-PAT-5fa7fc6d,91-8402-1303-8276,82,male,146.25,98.8,71,35.68,131.77,5.67,222.96,1.67,1,0,0,1
SYN-PAT-11eb43e4,91-8960-5886-4771,50,female,139.19,88.59,58,26.95,123.88,5.03,184.79,0.89,0,0,0,0
SYN-PAT-7d756073,91-5728-6640-4410,54,male,129.34,77.19,71,25.69,146.7,6.07,200.88,1.06,1,0,0,0
SYN-PAT-5f12da96,91-3231-7463-9932,64,male,124.35,74.24,83,16.65,118.49,5.27,221.3,1.07,0,0,0,0
SYN-PAT-4a5a0e49,91-6234-4285-9551,39,male,126.27,82.95,77,29.79,129.65,4.5,201.79,0.88,1,0,0,0
SYN-PAT-0b1d1aa9,91-1605-2366-7482,53,male,121.85,75.51,75,24.15,129.09,5.53,181.32,0.86,1,0,0,0
SYN-PAT-6a6378d7,91-1688-5068-4447,65,male,144.03,88.7,58,25.52,137.29,5.84,214.57,1.01,1,0,1,0
SYN-PAT-d61c347c,91-3714-2347-6008,60,male,118.0,60.98,68,30.19,134.48,5.69,234.37,1.22,1,0,0,1
SYN-PAT-f55093c8,91-8865-5294-2730,63,male,120.07,67.33,82,20.29,96.95,5.11,245.1,1.2,0,0,0,0
SYN-PAT-e6965908,91-3019-6313-5317,67,female,131.24,79.54,75,20.92,132.43,5.15,197.17,1.15,1,0,0,0
SYN-PAT-ccf9b2d6,91-4835-9169-5235,53,female,140.54,82.78,71,25.37,122.17,5.68,206.15,1.07,0,0,1,0
SYN-PAT-bb4ef83c,91-6352-3901-2541,35,female,140.86,83.54,67,35.15,163.88,6.26,191.52,1.31,1,0,1,1
SYN-PAT-b0c05fd5,91-1141-1266-8719,66,male,126.02,74.63,71,28.02,161.01,6.0,205.15,1.65,1,0,0,1
SYN-PAT-6a249b4a,91-8606-2201-7003,80,female,137.75,87.28,88,31.37,150.81,6.35,220.65,1.35,1,0,0,0
SYN-PAT-29729f83,91-1847-4616-3704,75,male,120.27,83.75,84,22.44,112.22,4.91,237.95,0.99,0,0,0,0
SYN-PAT-efd862c0,91-1240-8566-6809,49,female,128.93,78.57,76,24.78,137.57,5.83,175.36,1.35,1,0,0,1
SYN-PAT-de63f50d,91-5195-3714-7947,58,male,98.58,62.65,68,20.35,99.06,4.2,167.27,0.88,0,0,0,0
SYN-PAT-b6dcc734,91-8157-3714-5546,80,male,120.19,74.29,64,27.68,146.07,6.26,238.89,1.42,1,0,0,0
SYN-PAT-cff9a331,91-8476-1560-7652,54,male,136.41,87.38,79,25.48,132.98,5.75,182.03,0.86,1,0,0,0
SYN-PAT-3466d3d4,91-1548-2839-2951,79,male,132.54,83.98,72,24.92,155.62,6.89,178.99,1.58,1,0,0,1
SYN-PAT-0972be12,91-5339-9374-9735,60,female,135.65,79.83,77,27.44,145.56,6.27,206.91,1.39,1,0,0,1
SYN-PAT-f4916804,91-4901-4628-2768,56,male,131.8,77.91,57,30.46,135.56,6.27,186.0,1.09,1,0,0,0
SYN-PAT-d61c90be,91-2093-5532-6117,33,female,135.01,83.5,72,28.41,136.09,6.03,189.05,0.83,1,0,0,0
SYN-PAT-2b745508,91-8483-5415-7618,60,female,112.51,71.39,61,19.89,125.87,5.16,236.12,1.05,0,0,0,0
SYN-PAT-496c2c77,91-6449-5838-9549,45,female,132.42,87.64,71,27.42,107.71,5.15,193.26,0.89,0,0,0,0
SYN-PAT-5eefd9a9,91-7419-7172-6930,77,male,148.24,84.19,56,34.15,179.2,7.44,218.42,1.85,1,0,1,1
SYN-PAT-6ebf5aab,91-8938-7746-3133,33,female,112.32,65.68,79,19.81,99.75,4.48,160.07,1.15,0,0,0,0
SYN-PAT-19af5e3b,91-5882-7245-7611,66,male,123.97,66.52,69,31.21,121.07,5.48,247.35,1.28,0,0,1,0
SYN-PAT-6c86d26b,91-4470-2516-5423,45,female,129.91,79.39,68,32.7,102.58,4.05,223.16,0.65,0,0,1,0
SYN-PAT-2c1e6827,91-1159-5174-3199,57,female,125.0,68.3,76,34.38,131.58,4.6,212.87,1.11,1,0,0,0
SYN-PAT-4a0d8b55,91-6513-7508-8164,64,male,139.32,77.16,71,27.36,138.26,5.89,201.98,1.42,1,0,0,1
SYN-PAT-037a2199,91-5854-9922-6049,47,female,118.12,67.89,74,29.56,106.62,5.23,230.44,0.85,0,0,1,0
SYN-PAT-4af332c3,91-1741-1733-8839,35,female,117.63,76.48,80,32.29,145.7,6.07,205.18,1.08,1,0,0,0
SYN-PAT-404a3346,91-9159-3474-1226,76,male,130.47,76.27,72,28.77,140.24,6.41,213.55,1.66,1,0,0,1
SYN-PAT-9a60fe7e,91-9149-2123-8193,77,male,128.16,82.5,64,25.44,121.56,4.92,203.19,2.03,0,0,0,0
SYN-PAT-24f0d7c4,91-9305-3343-5533,59,female,125.88,75.14,64,25.26,126.5,5.05,221.25,1.18,1,0,0,0
SYN-PAT-a8b414ee,91-5521-4047-1980,51,female,139.66,88.78,66,28.13,142.05,5.92,171.0,1.52,1,0,0,1
SYN-PAT-7e19c6cf,91-2546-9490-4566,77,female,126.03,69.97,81,22.79,162.69,7.08,225.53,1.21,1,0,0,1
SYN-PAT-bcc98d9a,91-6534-9691-1810,62,male,130.83,75.36,56,35.94,122.76,4.54,208.67,1.5,0,0,0,0
SYN-PAT-75660bd0,91-1677-3650-4469,75,male,125.0,78.21,70,17.24,119.9,5.19,221.44,1.23,0,0,0,0
SYN-PAT-9752b5a2,91-2174-3949-9628,67,male,140.47,90.12,77,20.54,118.87,4.62,237.47,1.08,0,0,1,0
SYN-PAT-f3d944d5,91-8509-9707-6937,53,female,133.89,79.27,78,24.02,143.91,6.6,211.0,1.33,1,0,1,1
SYN-PAT-fadc1d21,91-3483-4212-4922,42,female,114.88,67.44,72,30.07,144.62,6.59,205.93,0.94,1,0,0,0
SYN-PAT-beac1060,91-7007-2794-2408,57,male,126.0,65.92,61,35.86,147.74,5.86,207.62,1.34,1,0,0,0
SYN-PAT-90a8a431,91-2936-5183-8926,26,male,112.91,58.89,75,26.25,104.28,5.31,180.01,0.65,0,0,0,0
SYN-PAT-03faf0d6,91-4753-1097-5754,30,female,123.95,69.67,40,28.77,124.55,5.37,175.44,0.93,0,0,0,0
SYN-PAT-66944f7b,91-3847-2117-9696,39,female,107.26,67.08,70,21.1,124.09,5.06,197.8,0.97,0,0,0,0
SYN-PAT-757f9cfb,91-5338-9021-4930,39,female,132.42,76.92,86,25.05,176.04,6.54,224.31,1.21,1,0,0,1
